Customer,Distance_km,Cumulative_km,ETA_h,Cost_NOK,CO2_g
Grunerlokka Market,0,0,0.0,0,0
Toyen Museum,1.3,1.3,0.03,5.2,156.13
Bislett Stadium,2.26,3.56,0.05,9.05,271.65
Majorstuen Station,1.13,4.69,0.02,4.51,135.25
Aker Brygge,2.2,6.89,0.04,8.78,263.48
Oslo City Hall,0.92,7.81,0.02,3.7,110.97
Nydalen School,4.27,12.08,0.09,17.07,512.02
Storo Mall,1.2,13.28,0.02,4.82,144.54
